model,track,horizon_step,fold,target_type,mae,rmse,wape,mean_poisson_deviance,r_squared,mean_signed_error,negative_predictions_clipped,slice_type,slice_value,n,station_median_mae,worst_quintile_station_mae
historical_average,day_ahead,2,0,pickups,0.8723017782587003,1.1931847958384463,1.002371400461434,1.4023805841006969,0.1237906375316632,0.03875803415695848,0,overall,all,840,0.8678436881636582,1.2958169543578444
historical_average,day_ahead,2,0,returns,0.7995244154271482,1.1109414956600385,0.9125006915201148,1.233375381766265,0.2621856959024804,0.034445237870152794,0,overall,all,840,0.761971159512637,1.2790645860950132
historical_average,day_ahead,2,1,combined,1.3050818220348317,1.722580555187934,1.0029566184518157,1.8796496998669623,0.04717501315856609,0.5155291612577391,0,overall,all,810,1.3097490563288692,1.8462420830084518
historical_average,day_ahead,2,1,pickups,0.7870505036950287,1.020417555584434,1.3117508394917143,1.3131763629642295,-0.11209666412628971,0.30438252296609614,0,overall,all,810,0.7646044874170839,1.0999963935675898
historical_average,day_ahead,2,1,returns,0.7712738171622692,1.0327373444241053,1.099879915319433,1.2713513303799124,0.1426975680477639,0.21114663829164293,0,overall,all,810,0.7858909680454803,1.1181048912913698
historical_average,day_ahead,2,2,combined,1.2593457179964962,1.6619329047946494,0.9895700683976211,1.7755054845041573,0.07365439868942159,0.5430774703420453,0,overall,all,840,1.3020933404926152,1.7830881408560615
historical_average,day_ahead,2,2,pickups,0.7519241360112745,0.9933638389488315,1.2169870409431034,1.2284662713848695,0.07730314619501677,0.2845671169820122,0,overall,all,840,0.7615185856608251,1.033306122737459
historical_average,day_ahead,2,2,returns,0.762341067950444,1.0373568218289644,1.164302721960678,1.2644932879567252,0.034138150404488754,0.25851035336003314,0,overall,all,840,0.7354533295958083,1.1860976715914329
historical_average,day_ahead,3,0,combined,0.9792539095350354,1.496441547029282,0.9433179862493462,1.5839702905385857,0.3131822632795631,-0.0036945953359230304,0,overall,all,840,0.8620569086667864,1.606531582478376
historical_average,day_ahead,3,0,pickups,0.5816148509214812,0.9137902244403339,1.1414870905935615,1.0948371735001798,0.21183077147604357,-0.009124578665489044,0,overall,all,840,0.5597665168913952,0.9424928476838775
historical_average,day_ahead,3,0,returns,0.5985902287711299,0.9723833050549323,1.1324680003778131,1.148534224657084,0.2445221985184023,0.005429983329566027,0,overall,all,840,0.5295713184156685,1.0305958790486989
historical_average,day_ahead,3,1,combined,0.9117979329809395,1.2952903757941079,1.25765232135302,1.5250146159357265,0.02635084377632324,0.34568390070226096,0,overall,all,840,0.8566883750270353,1.4417388752205043
historical_average,day_ahead,3,1,pickups,0.5385501374860656,0.7835741558799852,1.488099064106234,1.0207336861097291,-0.027430029117010202,0.15911847203894836,0,overall,all,840,0.5239389920309894,0.8148156307451102
historical_average,day_ahead,3,1,returns,0.5461119292888367,0.7905562157651083,1.5040459691889272,0.9868168098168068,0.08260898422286689,0.18656542866331258,0,overall,all,840,0.5082678515802251,0.9524855255931671
historical_average,day_ahead,3,2,combined,0.9036603942664276,1.2077692762563448,1.224314082554515,1.5180487557137363,0.07619785814758429,0.30232010778553486,0,overall,all,840,0.8756765800486666,1.2862211718137493
historical_average,day_ahead,3,2,pickups,0.5401139934950678,0.7523684696605938,1.387448790629532,1.0377051802772945,0.05225114797730279,0.1185951448871186,0,overall,all,840,0.5468333453617594,0.7885358275587532
historical_average,day_ahead,3,2,returns,0.5302346563206375,0.7240567818063934,1.5201266597588243,1.0035115534603936,0.07249786915698886,0.1837249628984163,0,overall,all,840,0.5161079150212808,0.8167375604380167
historical_average,day_ahead,4,0,combined,0.7301608558994509,1.382176004711308,1.2266702379110774,1.498547679763126,0.09763719377938862,0.03580357384019972,0,overall,all,840,0.6857038071893533,1.2898536092662887
historical_average,day_ahead,4,0,pickups,0.4261602242136133,0.8176622079212789,1.3928972308927439,1.0859408958927277,0.048732452583303276,5.440085331301755e-05,0,overall,all,840,0.40893038563076445,0.748485380870064
historical_average,day_ahead,4,0,returns,0.4204941546953438,0.7683935990331282,1.453560040922176,1.0843168482215169,0.09281710735217097,0.03574917298688671,0,overall,all,840,0.3868832874510088,0.7759928801570989
historical_average,day_ahead,4,1,combined,0.6427698433277759,0.9023112738006592,1.5209201926629063,1.2302475746713837,-0.12674245017597796,0.22868391304792784,0,overall,all,840,0.6052977283406282,1.018407506855703
