fold,track,horizon_step,target_type,model,baseline,day_blocks,mae_difference,ci_95_low,ci_95_high,bootstrap_seed,bootstrap_replicates
0,day_ahead,3,combined,lightgbm_poisson,historical_average,28,0.07270955932083065,0.011508036180925846,0.1367975726361336,20260728,300
0,day_ahead,3,combined,poisson_glm,historical_average,28,9.544917248059893,8.625470931756636,10.335781194277196,20260728,300
0,day_ahead,3,combined,recent_average,historical_average,28,0.14485323332210737,0.07744846807844893,0.21812016103044732,20260728,300
0,day_ahead,3,combined,seasonal_naive,historical_average,28,0.2231270428459169,0.11366565953780573,0.3592403040259626,20260728,300
0,day_ahead,3,pickups,lightgbm_poisson,historical_average,28,0.057918574694734715,0.028720853730977745,0.08587867945446855,20260728,300
0,day_ahead,3,pickups,poisson_glm,historical_average,28,4.36070438202745,3.891188794163884,4.763414251047151,20260728,300
0,day_ahead,3,pickups,recent_average,historical_average,28,0.06808753003089969,0.027186660841330743,0.12834875611675503,20260728,300
0,day_ahead,3,pickups,seasonal_naive,historical_average,28,0.09814705384042352,0.007391699139241634,0.2160894112379923,20260728,300
0,day_ahead,3,returns,lightgbm_poisson,historical_average,28,0.06234908456807591,0.03197506636600764,0.09008360934729863,20260728,300
0,day_ahead,3,returns,poisson_glm,historical_average,28,5.026229649675801,4.5405934383258,5.439390801110245,20260728,300
0,day_ahead,3,returns,recent_average,historical_average,28,0.10260024741934635,0.052253093092611766,0.16263756499152732,20260728,300
0,day_ahead,3,returns,seasonal_naive,historical_average,28,0.10736215218125113,0.03138212925401338,0.2089135146406614,20260728,300
0,day_ahead,4,combined,lightgbm_poisson,historical_average,28,0.13334782762389125,0.08802609088936261,0.18153015840038764,20260728,300
0,day_ahead,4,combined,poisson_glm,historical_average,28,10.847421399518527,9.962736003664597,11.652572486175293,20260728,300
0,day_ahead,4,combined,recent_average,historical_average,28,0.12162485838626347,0.052301369032783894,0.2035934066535567,20260728,300
0,day_ahead,4,combined,seasonal_naive,historical_average,28,0.11388676314816824,0.010218004284338061,0.2375188978700849,20260728,300
0,day_ahead,4,pickups,lightgbm_poisson,historical_average,28,0.09214861625449926,0.07149691722326156,0.11487396890124212,20260728,300
0,day_ahead,4,pickups,poisson_glm,historical_average,28,5.025822472489756,4.586400496360243,5.40144797868059,20260728,300
0,day_ahead,4,pickups,recent_average,historical_average,28,0.05241120435781526,0.017665585230422463,0.09467629619795542,20260728,300
0,day_ahead,4,pickups,seasonal_naive,historical_average,28,0.02622072816733907,-0.031172669426899485,0.09200696786829773,20260728,300
0,day_ahead,4,returns,lightgbm_poisson,historical_average,28,0.11120839670640226,0.0846795924964284,0.13498918292170894,20260728,300
0,day_ahead,4,returns,poisson_glm,historical_average,28,5.710291170397519,5.246259815081996,6.141169905516942,20260728,300
0,day_ahead,4,returns,recent_average,historical_average,28,0.05450584530465617,0.016124651740777613,0.09915018342844793,20260728,300
0,day_ahead,4,returns,seasonal_naive,historical_average,28,0.03545822625703713,-0.015049718370047965,0.10237012545611922,20260728,300
0,day_ahead,5,combined,lightgbm_poisson,historical_average,28,0.10955867471879732,0.08203650645450733,0.13409332569961402,20260728,300
0,day_ahead,5,combined,poisson_glm,historical_average,28,11.488076879427611,10.744500145844524,12.196750349559302,20260728,300
0,day_ahead,5,combined,recent_average,historical_average,28,0.1126788043334008,0.014255117133590057,0.23059044957158079,20260728,300
