fold,track,horizon_step,target_type,model,baseline,day_blocks,mae_difference,ci_95_low,ci_95_high,bootstrap_seed,bootstrap_replicates
0,day_ahead,9,returns,poisson_gru,historical_average,28,7.926661063033994,6.646047193780983,9.10315233536272,20260728,300
0,day_ahead,10,combined,poisson_gru,historical_average,28,7.060789269624954,5.341673411328699,8.606197066809044,20260728,300
0,day_ahead,10,pickups,poisson_gru,historical_average,28,2.473960361335378,1.876538841913492,2.978198942208481,20260728,300
0,day_ahead,10,returns,poisson_gru,historical_average,28,4.6877737290762385,3.6085457876306912,5.676011716713306,20260728,300
0,day_ahead,11,combined,poisson_gru,historical_average,28,0.9598175821417578,-0.06661294601525479,1.9513105290407635,20260728,300
0,day_ahead,11,pickups,poisson_gru,historical_average,28,0.5030804055735717,-0.10437305125612431,1.0419814959010278,20260728,300
0,day_ahead,11,returns,poisson_gru,historical_average,28,0.9410548813553866,0.44448801710433705,1.3828991073562191,20260728,300
0,day_ahead,12,combined,poisson_gru,historical_average,28,2.7716409581880375,1.1255467241459405,4.492459641343206,20260728,300
0,day_ahead,12,pickups,poisson_gru,historical_average,28,1.0779037834467207,0.38186195002450074,1.7533392856273444,20260728,300
0,day_ahead,12,returns,poisson_gru,historical_average,28,1.926853558507785,1.0709977902829473,2.8520706472530617,20260728,300
0,day_ahead,13,combined,poisson_gru,historical_average,28,1.4440716102272895,-0.044575330209783375,2.987304166348367,20260728,300
0,day_ahead,13,pickups,poisson_gru,historical_average,28,0.5712745169715208,-0.04675211373110911,1.176173528680467,20260728,300
0,day_ahead,13,returns,poisson_gru,historical_average,28,1.1848850261566792,0.39175441625355295,2.0209443807759984,20260728,300
0,day_ahead,14,combined,poisson_gru,historical_average,28,1.8969266482346856,0.7653328517674416,3.3147441168847522,20260728,300
0,day_ahead,14,pickups,poisson_gru,historical_average,28,0.9235958536107296,0.3873869177742401,1.5220845817950122,20260728,300
0,day_ahead,14,returns,poisson_gru,historical_average,28,1.0519054883110985,0.42636619138061044,1.6948632324315758,20260728,300
0,day_ahead,15,combined,poisson_gru,historical_average,28,2.7513642449567906,1.7033094961412807,3.9586526779275504,20260728,300
0,day_ahead,15,pickups,poisson_gru,historical_average,28,1.2040171176262857,0.6777502334017778,1.7829511047896633,20260728,300
0,day_ahead,15,returns,poisson_gru,historical_average,28,1.3748971702111341,0.8742016828752822,1.9379480230674575,20260728,300
0,day_ahead,16,combined,poisson_gru,historical_average,28,1.497082009614375,0.18738008106007134,2.7409660233923376,20260728,300
0,day_ahead,16,pickups,poisson_gru,historical_average,28,0.690219238074202,0.03176366467633075,1.252027435754413,20260728,300
0,day_ahead,16,returns,poisson_gru,historical_average,28,0.9382122177368648,0.41750460992385113,1.4782434905640018,20260728,300
0,day_ahead,17,combined,poisson_gru,historical_average,28,1.6223778663781396,0.17237664255503757,2.985281621997234,20260728,300
0,day_ahead,17,pickups,poisson_gru,historical_average,28,1.1929865595765303,0.48227703541846373,1.830948676551463,20260728,300
0,day_ahead,17,returns,poisson_gru,historical_average,28,0.9283623631504521,0.28509021686137986,1.5447379885971797,20260728,300
0,day_ahead,18,combined,poisson_gru,historical_average,28,9.59732435430482,6.437387781773877,12.324417658558442,20260728,300
